主編碼,屬性,詞目,音讀,文白屬性,部首
569,1,中,tiong1,1,｜
570,1,中,tiong3,1,｜
571,1,丹,tan1,0,丶
572,1,之,tsi1,0,丿
573,1,予,hoo7,0,亅
574,1,五,goo7,2,二
575,1,五,ngoo2,1,二
576,1,井,tsenn2/tsinn2,2,二
577,1,仁,jin5/lin5,0,人
578,1,仄,tseh4,0,人
579,1,仆,phak4,0,人
580,1,仇,siu5,0,人
581,1,今,tann1,4,人
582,1,允,in2/un2,0,儿
583,1,內,lai7,2,入
584,1,內,lue7,1,入
585,1,公,kang1,2,八
586,1,公,kong1,1,八
587,1,六,lak8,2,八
588,1,六,liok8,1,八
589,1,冇,phann3,4,一
590,1,冗,ling7,0,冖
591,1,冗,liong7,0,冖
592,1,凶,hiong1,0,凵
593,1,分,hun1,1,刀
594,1,分,pun1,2,刀
595,1,切,tshiat4,0,刀
596,1,勻,un5,4,勹
597,1,勼,kiu1,2,勹
598,1,勾,kau1,0,勹
599,1,內䘥仔,lai7-kah4-a2,0,
600,1,中人,tiong1-lang5,0,
601,1,允人,in2--lang5/un2--lang5,0,
602,1,不才,put4-tsai5,0,
603,1,內山,lai7-suann1,0,
604,1,內才,lai7-tsai5,0,
605,1,分寸,hun1-tshun3,0,
606,1,不三不四,put4-sam1-put4-su3,0,
607,1,不仁,put4-jin5/put4-lin5,0,
608,1,中元,Tiong1-guan5,0,
609,1,五仁,ngoo2-jin5/ngoo2-lin5,0,
610,1,仁丹,jin5-tan1/lin5-tan1,0,
611,1,內公,lai7-kong1,0,
612,1,公元,kong1-guan5,0,
613,1,公分,kong1-pun1,0,
614,1,公分,kong1-hun1,0,
615,1,勻勻仔,un5-un5-a2,0,
616,1,勻勻仔火,un5-un5-a2-hue2/un5-un5-a2-he2,0,
617,1,五分仔車,goo7-hun1-a2-tshia1,0,
618,1,不中用,put4-tiong3-iong7,0,
619,1,五分車,goo7-hun1-tshia1,0,
620,1,不止,put4-tsi2,0,
621,1,中心,tiong1-sim1,0,
622,1,井水,tsenn2-tsui2/tsinn2-tsui2,0,
623,1,內心,lue7-sim1,0,
624,1,公文,kong1-bun5,0,
625,1,公斤,kong1-kin1/kong1-kun1,0,
626,1,冇手,phann3-tshiu2,0,
627,1,切手,tshiat4-tshiu2,0,
628,1,勼手,kiu1-tshiu2,0,
629,1,勼水,kiu1-tsui2,0,
630,1,勾引,kau1-in2,0,
631,1,六月天,lak8-gueh8-thinn1/lak8-geh8-thinn1,0,
632,1,不止仔,put4-tsi2-a2,0,
633,1,六月冬,lak8-gueh8-tang1/lak8-geh8-tang1,0,
634,1,五日節,Goo7-jit8-tseh4/Goo7-lit8-tsueh4,0,
635,1,五月節,Goo7-gueh8-tseh4/Goo7-geh8-tsueh4,0,
636,1,丑仔,thiu2-a2,0,
637,1,今仔,tann1-a2,0,
638,1,今仔日,kin1-a2-jit8/kin1-a2-lit8,0,
639,1,勻仔是,un5-a2-si7,0,
640,1,中古,tiong1-koo2,0,
641,1,內外,lai7-gua7,0,
642,1,五加皮,ngoo2-ka1-pi5,0,
